230042102,I001,2,90.00,2026-02-01
230042102,I002,3,45.00,2026-02-01
230042103,S001,5,175.00,2026-02-01
230042104,H001,4,60.00,2026-02-02
230042105,I015,1,450.00,2026-02-02
230042106,S002,3,75.00,2026-02-02
230042107,E002,1,350.00,2026-02-03
230042108,H003,1,120.00,2026-02-03
230042109,I001,3,135.00,2026-02-03
230042109,I002,5,75.00,2026-02-03
230042110,S003,4,80.00,2026-02-04
230042111,S004,2,100.00,2026-02-04
230042112,H006,3,150.00,2026-02-04
230042115,I017,2,100.00,2026-02-05
230042116,S001,3,105.00,2026-02-05
230042117,E001,2,500.00,2026-02-05
230042118,H002,3,75.00,2026-02-05
230042119,I009,1,120.00,2026-02-06
230042120,S005,2,160.00,2026-02-06
230042135,H005,1,180.00,2026-02-06
230042141,I001,2,90.00,2026-02-07
230042141,S006,6,90.00,2026-02-07
230042139,S014,4,180.00,2026-02-07
230042101,E004,1,1200.00,2026-02-07
230042114,S002,4,100.00,2026-02-07
230042102,S007,3,120.00,2026-02-08
230042103,I018,2,80.00,2026-02-08
230042104,H007,5,175.00,2026-02-08
230042105,S001,2,70.00,2026-02-08
230042106,I003,6,90.00,2026-02-08
230042107,S012,3,135.00,2026-02-08
230042108,H001,3,45.00,2026-02-08
230042109,I004,5,40.00,2026-02-08
230042110,S010,4,120.00,2026-02-08
230042111,I016,2,80.00,2026-02-08
230042112,S004,3,150.00,2026-02-08
230042115,H011,1,250.00,2026-02-08
230042116,I002,4,60.00,2026-02-08
230042117,S013,2,180.00,2026-02-08
230042118,H008,2,120.00,2026-02-08
230042119,I013,3,105.00,2026-02-08
230042120,S009,6,150.00,2026-02-08
230042135,E005,2,160.00,2026-02-08
230042141,I010,1,150.00,2026-02-08
230042139,S001,4,140.00,2026-02-08
230042101,H003,2,240.00,2026-02-08
230042114,I007,2,40.00,2026-02-08
